"","MS/MS","MS/MS Identified","MS/MS Identified [%]","Peptide Sequences Identified","Peaks Repeatedly Sequenced [%]","Mass Standard Deviation [ppm]","Mass precision [ppm]","Retention length (FWHM)","Score","Intensity","Cycle time","Mass Error [ppm]","Date","Instrument","Type"
"20180327_QECl_nLCII_100ngBrain_10",66128,24832,29,19088,5.05,1.6203,1.71217632717753,8.87233445978106,71.7652380273969,118046512.334127,1.02527881862217,-0.00188815479668538,"2018-03-27","QECl","DB"
"20180327_QECl_nLCII_100ngBrain_15",63583,21690,25.69,16935,5.44,1.6287,1.58959925196547,10.0829260542086,67.3843557684488,94949967.4819946,0.889857373584024,-0.0362275284955078,"2018-03-27","QECl","DB"
"20180327_QECl_nLCII_100ngBrain_16",63052,20098,23.81,15772,5.3,1.6396,1.61504361869367,8.1065886690858,63.8207686729897,82476285.7637832,0.88306288793603,0.0490292513564508,"2018-03-27","QECl","DB"
"20180327_QECl_nLCII_100ngBrain_17",60642,17232,21.11,13711,5.25,1.6703,1.58806139575972,8.40874374830117,62.3273337203242,69814602.4327263,0.797468129774987,0.0477199962106024,"2018-03-27","QECl","DB"
"20180327_QECl_nLCII_100ngBrain_18",63198,18393,21.58,14441,5.41,1.6716,1.62283426263336,7.82208317894333,61.5357633797665,69994185.7675845,0.897417674007773,0.0435953929248397,"2018-03-27","QECl","DB"
"20180327_QECl_nLCII_100ngBrain_19",63646,18308,21.29,14401,5.22,1.6617,1.61177651274353,7.30541526668796,61.2504313970418,72372604.3436602,0.914955121277618,0.046327862078019,"2018-03-27","QECl","DB"
"20180327_QECl_nLCII_100ngBrain_6",64534,20936,24.35,15635,5.5,1.6792,1.69500464746504,8.1123116763538,66.0749392522235,83041749.5125741,0.968315545812683,0.00146784937054394,"2018-03-27","QECl","DB"
"20180327_QECl_nLCII_100ngBrain_7",66188,23893,27.67,18222,5.11,1.619,1.72801339925577,8.2258019846192,69.9392333704617,104690860.233689,1.04606944810544,-0.0212893621068039,"2018-03-27","QECl","DB"
"20180327_QECl_nLCII_100ngBrain_8",65706,25042,29.44,19196,4.98,1.6247,1.6654902553909,8.8635579462335,72.8124447998912,130195005.30683,0.995180037878788,-0.0221114809960375,"2018-03-27","QECl","DB"
"20180327_QECl_nLCII_100ngBrain_9",65950,24399,28.53,18715,5.11,1.6135,1.67989958956927,8.75532734424319,71.8727214639341,120814881.799155,1.01422914281911,0.0105658283021218,"2018-03-27","QECl","DB"
